"";"HouseIndex";"I";"T";"N";"E";"S";"W";"SolaR";"T:N";"T:E";"T:S";"T:W"
"31";"48";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"32";"49";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"33";"50";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"34";"52";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"35";"54";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"36";"55";" + * * *";" - * * *";" +";" + *";" + .";" + * * *";" - * * *";" -";" +";" + * *";" - *"
"37";"56";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"38";"57";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"39";"58";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"40";"61";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"41";"64";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"42";"65";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
"43";"66";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *";" + * * *"
